location:CallMethodOnThis:6 context:<init>() type:CallMethodOnThis call:<init>() extend:CallMethodOnThis
location:CallMethodOnThis:11 context:context() type:CallMethodOnThis call:test7() extend:CallMethodOnThis
location:TypeUsageTestData:3 context:<init>() type:TypeUsageTestData call:<init>() extend:TypeUsageTestData
location:Main:58 context:<init>() type:Main call:<init>() extend:Main
location:Main:67 context:context(MethodParameter,int) type:MethodParameter call:test2() call:test1() extend:MethodParameter
location:Main:71 context:context(MethodParameter,int) type:LocalVariable call:<init>() call:cee() call:test3() extend:LocalVariable
location:Main:77 context:context(MethodParameter,int) type:Inheritance call:<init>() call:cee() call:test3() extend:Inheritance extend:A
location:Main:83 context:context(MethodParameter,int) type:Field call:foo() extend:Field
location:Main:85 context:context(MethodParameter,int) type:Field42 call:test42() call:foo42() extend:Field42
location:Main:98 context:context2(MethodParameter,int) type:A call:test3() extend:A
location:Main:113 context:toto() type:java.lang.Object call:<init>() call:hashCode() 
location:Main:115 context:toto() type:java.lang.String call:substring() extend:java.lang.String
location:Main:118 context:toto() type:java.lang.Object call:notify() call:getClass() 
location:Main:120 context:toto() type:java.lang.String call:matches() extend:java.lang.String
location:A:48 context:<init>() type:A call:<init>() extend:A
location:Inheritance:53 context:<init>() type:Inheritance call:<init>() extend:Inheritance extend:A
location:LocalVariable:24 context:<init>() type:LocalVariable call:<init>() extend:LocalVariable
location:Field:32 context:<init>() type:Field call:<init>() extend:Field
location:typeusage.tests.TestTypeUsageCollector:13 context:<init>() type:typeusage.tests.TestTypeUsageCollector call:<init>() extend:typeusage.tests.TestTypeUsageCollector extend:typeusage.miner.TypeUsageCollector
location:typeusage.tests.TestTypeUsageCollector:16 context:<init>() type:java.util.ArrayList call:<init>() extend:java.util.ArrayList extend:java.util.AbstractCollection extend:java.util.AbstractList
location:typeusage.tests.TestTypeUsageCollector:20 context:receive(TypeUsage) type:java.util.List call:add() extend:java.util.List
location:typeusage.tests.Tests:13 context:<init>() type:typeusage.tests.Tests call:<init>() extend:typeusage.tests.Tests
